No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
17,10/02/26,Conclave,English,2024,,,Home,Edward Berger,120 min,"Drama, Thriller",7.189,2024,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",Found,0
16,10/02/26,With Love,Tamil,2026,,2.0,Theatre,Madhan,140 min,"Romance, Comedy",6.5,2026,"Sathya reluctantly agrees to a blind date arranged by his sister and meets Monisha. They discover they attended the same school years ago. Bonding over shared memories and old crushes, they reconnect with their past and grow closer.",Found,0
15,09/02/26,With Love,Tamil,2026,,1.0,Theatre,Madhan,140 min,"Romance, Comedy",6.5,2026,"Sathya reluctantly agrees to a blind date arranged by his sister and meets Monisha. They discover they attended the same school years ago. Bonding over shared memories and old crushes, they reconnect with their past and grow closer.",Found,0
14,04/02/26,Wedding Crashers,English,2005,,,Home,David Dobkin,119 min,"Comedy, Romance",6.493,2005,"John and his buddy Jeremy are emotional criminals who know how to use a woman's hopes and dreams for their own carnal gain. Their modus operandi: crashing weddings. Normally, they meet guests who want to toast the romantic day with a random hook-up. But when John meets Claire, he discovers what true love – and heartache – feels like.",Found,0
13,03/02/26,Sirai,Tamil,2025,,,Home,Suresh Rajakumari,124 min,"Drama, Romance",7.0,2025,"As he transfers a young convict from prison to court, a police officer learns about the chain of events that led to the young man's conviction for violence.",Found,0
12,01/02/26,Mankatha,Tamil,2011,,2.0,Theatre,Venkat Prabhu,161 min,"Action, Thriller",6.8,2011,"Vinayak, a suspended cop, helps a group of four men rob cricket betting money amounting to 500 crores INR. When it comes to splitting the amount, betrayal hits the team hard and a chase ensues.",Found,0
11,28/01/26,Zootopia 2,English,2025,,,Home,"Jared Bush, Byron Howard",108 min,"Animation, Comedy, Adventure, Family, Mystery",7.6,2025,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",Found,0
10,18/01/26,She's Out of My League,English,2010,,4.0,Home,Jim Field Smith,104 min,"Romance, Comedy",6.481,2010,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",Found,0
9,16/01/26,Rental Family,Japanese,2025,,,Home,Hikari,110 min,"Comedy, Drama",7.9,2025,"An American actor in Tokyo struggles to find purpose until he lands an unusual gig: working for a Japanese 'rental family' agency, playing stand-in roles for strangers. As he immerses himself in his clients' worlds, he begins to form genuine bonds that blur the lines between performance and reality.",Found,0
8,14/01/26,People We Meet on Vacation,English,2026,,,Home,Brett Haley,116 min,"Romance, Comedy, Drama",7.0,2026,"Poppy's a free spirit. Alex loves a plan. After years of summer vacations, these polar-opposite pals wonder if they could be a perfect romantic match.",Found,0
